AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
51,Moderate,1,0,36,0,0,0,51,2
41,Good,1,0,5,0,1,0,41,0
66,Moderate,1,0,39,0,2,0,66,2
34,Good,1,0,34,0,0,0,20,0
22,Good,0,0,22,0,0,0,6,0
54,Moderate,1,0,14,0,11,0,54,2
62,Moderate,1,0,35,0,3,0,62,2
64,Moderate,1,0,29,0,7,0,64,2
54,Moderate,1,0,41,0,1,0,54,2
142,Unhealthy for Sensitive Groups,3,0,89,1,9,0,142,4
68,Moderate,2,0,68,1,1,0,58,2
41,Good,1,0,24,0,6,0,41,0
158,Unhealthy,3,0,139,3,1,0,158,3
158,Unhealthy,1,0,50,0,1,0,158,3
83,Moderate,1,0,46,0,0,0,83,2
59,Moderate,1,0,30,0,4,0,59,2
154,Unhealthy,3,0,100,3,2,0,154,3
55,Moderate,1,0,47,0,0,0,55,2
72,Moderate,1,0,4,0,23,0,72,2
161,Unhealthy,2,0,71,1,0,0,161,3
28,Good,1,0,28,0,2,0,28,0
118,Unhealthy for Sensitive Groups,2,0,30,0,2,0,118,4
33,Good,0,0,10,0,1,0,33,0
150,Unhealthy,3,0,95,1,6,0,150,3
154,Unhealthy,5,0,0,0,13,0,154,3
81,Moderate,1,0,24,0,1,0,81,2
67,Moderate,1,0,16,0,2,0,67,2
62,Moderate,1,0,37,0,1,0,62,2
31,Good,1,0,31,0,0,0,17,0
56,Moderate,1,0,35,0,0,0,56,2
77,Moderate,2,0,22,0,15,0,77,2
44,Good,1,0,15,0,0,0,44,0
30,Good,1,0,9,0,2,0,30,0
30,Good,1,0,30,0,1,0,15,0
79,Moderate,3,0,18,0,5,0,79,2
34,Good,1,0,19,0,7,0,34,0
51,Moderate,1,0,20,0,5,0,51,2
77,Moderate,1,0,34,0,0,0,77,2
61,Moderate,1,0,32,0,3,0,61,2
32,Good,1,0,7,0,2,0,32,0
64,Moderate,3,0,64,1,4,0,64,2
29,Good,0,0,29,0,0,0,25,0
51,Moderate,1,0,23,0,0,0,51,2
247,Very Unhealthy,3,0,162,2,1,0,247,5
45,Good,1,0,32,0,7,0,45,0
36,Good,1,0,25,0,3,0,36,0
81,Moderate,2,0,81,1,4,0,56,2
124,Unhealthy for Sensitive Groups,2,0,15,0,5,0,124,4
72,Moderate,1,0,26,0,2,0,72,2
55,Moderate,0,0,32,0,1,0,55,2
31,Good,0,0,31,0,0,0,25,0
157,Unhealthy,1,0,89,1,0,0,157,3
60,Moderate,1,0,31,0,1,0,60,2
153,Unhealthy,1,0,40,0,0,0,153,3
22,Good,0,0,19,0,0,0,22,0
30,Good,1,0,17,0,0,0,30,0
44,Good,1,0,34,0,0,0,44,0
47,Good,1,0,37,0,4,0,47,0
37,Good,0,0,32,0,2,0,37,0
44,Good,1,0,14,0,8,0,44,0
58,Moderate,2,0,14,0,24,0,58,2
37,Good,0,0,33,0,0,0,37,0
89,Moderate,3,0,3,0,6,0,89,2
52,Moderate,2,0,38,0,7,0,52,2
59,Moderate,2,0,16,0,0,0,59,2
51,Moderate,1,0,25,0,6,0,51,2
66,Moderate,1,0,26,0,1,0,66,2
38,Good,1,0,38,0,0,0,13,0
34,Good,1,0,30,0,7,0,34,0
88,Moderate,2,0,11,0,20,0,88,2
54,Moderate,1,0,31,0,3,0,54,2
44,Good,1,0,28,0,3,0,44,0
51,Moderate,1,0,26,0,6,0,51,2
67,Moderate,2,0,15,0,23,0,67,2
42,Good,1,0,5,0,2,0,42,0
189,Unhealthy,2,0,99,1,1,0,189,3
49,Good,1,0,25,0,3,0,49,0
203,Very Unhealthy,5,0,203,4,5,0,151,3
35,Good,0,0,32,0,0,0,35,0
90,Moderate,1,0,25,0,2,0,90,2
67,Moderate,1,0,26,0,1,0,67,2
36,Good,0,0,34,0,1,0,36,0
48,Good,1,0,28,0,4,0,48,0
41,Good,1,0,28,0,10,0,41,0
19,Good,0,0,19,0,1,0,17,0
73,Moderate,1,0,43,0,0,0,73,2
45,Good,0,0,18,0,1,0,45,0
170,Unhealthy,1,0,43,0,0,0,170,3
47,Good,1,0,47,0,1,0,36,0
155,Unhealthy,3,0,82,1,1,0,155,3
46,Good,1,0,9,0,1,0,46,0
172,Unhealthy,5,0,2,0,11,0,172,3
64,Moderate,1,0,15,0,2,0,64,2
44,Good,1,0,44,0,1,0,38,0
150,Unhealthy,3,0,150,2,1,0,105,4
142,Unhealthy for Sensitive Groups,4,0,113,3,9,0,142,4
